cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_14,0,2,0,2,2,2,1,0,0,1
216_16,2,0,2,2,2,2,2,0,1,1
216_15,2,0,0,2,2,2,2,0,0,1
216_10,1,2,0,2,2,2,2,0,2,1
216_9,1,2,0,2,2,2,2,2,2,1
216_12,0,0,0,2,2,2,0,0,2,1
216_11,0,2,0,2,2,2,0,0,2,1
216_8,1,0,1,2,1,2,0,2,0,1
216_7,1,0,1,2,0,2,0,2,0,1
216_6,2,0,1,2,1,2,2,0,2,1
216_5,0,0,1,2,1,2,2,0,0,1
216_4,0,0,1,2,1,2,2,0,2,1
216_3,0,0,0,2,1,2,2,0,0,1
216_2,0,0,2,2,0,2,2,0,0,1
216_1,1,0,2,2,0,2,2,0,0,1
216_17,1,1,1,2,2,0,2,2,2,2
216_19,1,1,1,2,2,0,2,2,2,0
216_18,1,1,1,2,2,0,2,2,2,1
216_21,1,0,1,2,2,0,2,0,2,0
216_20,1,2,1,2,2,0,2,0,2,1
216_30,0,0,1,1,0,0,2,0,0,1
216_29,0,0,1,1,0,0,0,0,0,1
216_28,2,0,0,1,2,1,1,0,2,1
216_27,2,0,1,1,0,1,0,1,2,1
216_26,1,0,0,0,0,0,1,1,0,1
216_25,1,0,1,0,0,2,1,1,0,0
216_24,1,0,0,2,0,0,1,1,1,1
216_23,1,0,0,2,0,0,1,1,0,1
216_22,1,0,0,2,0,0,1,1,0,1
