cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_4,1,1,1,1,2,1,1,2,2,1
216_6,0,1,1,2,1,1,0,2,1,1
216_7,0,1,1,2,1,1,0,2,1,1
216_8,0,1,1,0,1,1,1,2,1,1
216_9,0,1,1,0,1,1,1,2,1,1
216_10,0,1,1,1,0,1,1,2,2,1
216_11,0,1,1,0,0,1,1,2,2,1
216_17,0,0,0,0,1,1,1,1,1,1
216_18,0,0,0,0,1,1,1,1,1,1
216_19,0,0,0,0,1,1,1,1,1,1
216_20,0,0,0,0,1,1,1,1,1,1
216_21,0,0,0,0,1,1,1,1,1,1
216_22,0,0,0,0,1,1,1,1,2,1
216_23,0,0,0,0,1,1,1,1,2,1
216_24,0,0,0,0,2,1,1,1,2,1
216_25,0,0,0,0,2,1,1,1,2,1
216_26,0,0,0,0,1,1,1,1,2,1
216_27,0,1,0,0,1,1,1,1,2,1
216_28,2,1,1,1,2,1,1,1,1,1
216_29,1,1,1,1,2,1,1,1,0,1
216_30,1,1,1,2,2,1,1,2,0,0
216_31,1,1,1,2,2,1,1,2,2,1
216_32,0,1,1,2,1,1,1,2,2,1
216_33,0,1,1,2,1,1,0,2,2,1
216_34,2,1,1,2,1,1,1,2,2,1
216_35,2,1,1,2,1,1,1,2,0,1
