216_4,143.0,314.0
216_3,131.0,317.0
216_2,119.0,300.0
216_1,130.0,303.0
216_30,182.0,267.0
216_29,176.0,293.0
216_28,169.0,305.0
216_27,163.0,319.0
216_26,213.0,303.0
216_25,195.0,320.0
216_24,129.0,275.0
216_23,140.0,291.0
216_22,181.0,315.0
216_21,152.0,324.0
216_16,155.0,273.0
216_15,139.0,279.0
216_14,127.0,291.0
216_13,99.0,293.0
216_17,151.0,299.0
216_20,201.0,288.0
216_19,192.0,306.0
216_8,159.0,263.0
216_7,168.0,279.0
216_6,198.0,269.0
216_5,189.0,293.0
216_9,190.0,334.0
216_12,209.0,280.0
