cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_1,1,1,1,2,1,1,1,1,1,1
216_3,1,1,1,2,1,1,1,0,0,1
216_4,1,1,1,2,1,1,1,1,1,1
216_5,2,1,1,0,1,1,1,2,1,1
216_6,1,1,1,1,1,1,1,1,1,1
216_7,1,1,1,1,1,1,1,1,1,1
216_8,2,1,1,1,1,1,1,1,1,1
216_9,2,1,1,1,1,1,1,1,1,1
216_10,1,1,1,1,1,1,1,0,0,1
216_12,1,1,1,1,1,1,0,1,1,1
216_13,2,1,1,0,1,1,1,0,0,1
216_14,1,1,1,0,1,1,1,1,2,1
216_15,1,1,1,0,1,1,1,1,2,1
216_22,2,1,0,0,0,0,2,0,0,0
216_23,2,1,0,0,0,0,0,0,0,1
216_25,1,1,1,1,1,0,2,0,0,1
216_26,1,1,1,0,1,1,1,1,2,1
216_27,1,1,1,2,1,1,1,1,2,1
216_28,1,1,1,1,1,1,2,2,0,1
216_29,1,1,1,1,1,1,2,2,0,1
216_30,1,1,1,1,1,1,0,2,0,1
216_31,1,1,1,1,1,1,2,2,0,1
