cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
216_34,2,1,1,2,2,1,0,2,1,1
216_33,0,1,1,2,0,0,1,2,1,1
216_32,2,2,0,2,1,0,2,2,2,2
216_31,2,2,0,2,1,0,2,2,2,2
216_28,2,0,1,2,0,0,0,2,2,2
216_26,2,0,1,2,0,0,0,2,2,2
216_23,0,0,0,2,2,0,1,2,2,2
216_22,0,0,1,2,1,0,0,2,2,2
216_21,2,0,1,2,1,0,0,2,2,2
216_19,0,0,0,2,0,0,0,2,2,2
216_17,1,2,0,2,0,0,0,2,2,2
216_8,0,0,1,2,2,1,0,2,0,0
216_7,0,0,1,2,2,1,0,2,0,0
216_6,0,0,1,2,2,1,1,2,1,0
216_5,0,0,1,2,2,1,1,2,1,0
216_4,0,0,1,2,2,1,0,2,1,0
216_3,0,2,1,2,2,1,0,2,1,0
216_2,0,0,1,2,2,1,0,2,1,0
216_1,0,0,1,2,2,1,1,2,1,0
216_10,1,1,1,2,1,1,0,2,2,1
216_9,1,1,1,2,1,1,0,2,2,1
216_12,0,1,1,2,1,1,0,2,2,0
216_11,0,1,1,2,1,1,0,2,2,0
216_16,1,1,1,2,1,1,0,2,2,0
216_15,1,1,1,2,1,1,0,2,2,0
216_14,1,1,1,2,1,1,0,2,2,0
216_13,1,1,1,2,1,1,0,2,2,0
