cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_1,2,1,0,0,1,0,1,0,0,0
216_6,1,1,1,1,1,0,1,0,2,0
216_7,1,1,1,1,0,0,1,0,2,1
216_8,1,1,0,1,0,0,1,0,0,0
216_9,2,1,0,1,1,1,1,0,0,0
216_10,1,1,1,2,1,1,1,0,0,2
216_11,2,1,0,0,0,0,1,0,0,0
216_12,1,1,1,2,0,1,1,0,0,1
216_13,2,1,0,2,1,1,1,0,0,0
216_14,1,2,1,2,0,1,1,0,2,1
216_15,1,2,1,1,1,0,1,0,2,1
216_16,2,1,0,0,1,0,1,0,0,0
216_17,0,1,1,2,2,1,1,0,2,1
216_18,0,1,1,2,0,1,1,0,2,1
216_19,2,1,0,0,1,0,1,2,2,1
216_20,1,1,0,0,2,0,1,2,2,1
216_21,1,1,1,1,0,0,1,0,1,1
216_23,1,1,1,1,0,0,1,0,0,0
216_24,1,1,1,1,1,0,1,0,1,1
216_25,1,1,1,1,0,0,1,0,1,1
216_26,1,1,1,1,0,0,1,0,1,1
