sample frame parent_x parent_y child_id child_x child_y
s10c4 177 357.0 248.0 8 355.0 248.0
s10c4 212 319.0 254.0 5 314.0 261.0
s10c4 212 319.0 254.0 6 321.0 248.0
s10c4 212 354.0 266.0 7 360.0 274.0
s10c4 212 354.0 266.0 8 355.0 262.0
s10c5 52 320.0 220.0 2 326.0 224.0
s10c5 52 320.0 220.0 3 316.0 216.0
s10c5 61 310.0 220.0 1 315.0 225.0
s10c5 61 310.0 220.0 2 305.0 214.0
s10c5 106 334.0 221.0 3 328.0 228.0
s10c5 106 334.0 221.0 4 341.0 216.0
s10c5 108 294.0 209.0 5 303.0 209.0
s10c5 108 294.0 209.0 6 290.0 209.0
s10c5 119 287.0 216.0 2 291.0 224.0
s10c5 119 287.0 216.0 3 281.0 212.0
s10c5 121 319.0 208.0 1 313.0 213.0
s10c5 121 319.0 208.0 2 327.0 201.0
s10c5 154 334.0 227.0 5 333.0 240.0
s10c5 154 334.0 227.0 6 341.0 224.0
s10c5 157 312.0 204.0 7 321.0 203.0
s10c5 157 312.0 204.0 8 305.0 202.0
s10c5 157 281.0 201.0 9 273.0 201.0
s10c5 157 281.0 201.0 10 288.0 196.0
s10c5 164 337.0 195.0 2 348.0 203.0
s10c5 164 337.0 195.0 3 335.0 188.0
s10c5 165 332.0 217.0 1 333.0 217.0
s10c5 165 332.0 217.0 2 325.0 216.0
s10c5 168 307.0 229.0 5 313.0 233.0
s10c5 168 307.0 229.0 6 300.0 226.0
s10c5 174 289.0 204.0 7 296.0 206.0
s10c5 174 289.0 204.0 8 278.0 205.0
s10c5 201 364.0 210.0 3 359.0 213.0
s10c5 201 364.0 210.0 4 361.0 204.0
s10c5 201 336.0 247.0 10 339.0 254.0
s10c5 201 336.0 247.0 11 333.0 240.0
s10c5 202 331.0 188.0 5 328.0 190.0
s10c5 202 331.0 188.0 6 342.0 183.0
s10c5 206 314.0 219.0 2 310.0 224.0
s10c5 206 314.0 219.0 3 322.0 213.0
s10c5 208 350.0 225.0 1 342.0 225.0
s10c5 208 350.0 225.0 2 358.0 224.0
s10c5 208 338.0 198.0 16 337.0 204.0
s10c5 208 338.0 198.0 17 345.0 193.0
s10c5 213 326.0 233.0 9 326.0 232.0
s10c5 213 326.0 233.0 10 319.0 234.0
s10c5 213 359.0 237.0 16 354.0 240.0
s10c5 213 359.0 237.0 17 368.0 233.0
s10c5 214 286.0 228.0 11 285.0 238.0
s10c5 214 286.0 228.0 12 292.0 221.0
s11c1 29 177.0 369.0 1 174.0 370.0
s11c1 29 177.0 369.0 2 183.0 365.0
s11c1 95 162.0 373.0 1 153.0 378.0
s11c1 95 162.0 373.0 2 171.0 369.0
s11c1 96 188.0 363.0 3 185.0 370.0
s11c1 96 188.0 363.0 4 193.0 360.0
s11c1 155 155.0 367.0 2 162.0 365.0
s11c1 155 155.0 367.0 3 150.0 363.0
s11c1 166 200.0 379.0 4 207.0 387.0
s11c1 166 200.0 379.0 5 193.0 372.0
s11c1 168 195.0 347.0 5 191.0 356.0
s11c1 168 195.0 347.0 6 203.0 345.0
s11c2 56 315.0 148.0 1 318.0 156.0
s11c2 56 315.0 148.0 2 314.0 145.0
s11c2 115 312.0 144.0 1 305.0 150.0
s11c2 115 312.0 144.0 2 320.0 143.0
s11c2 178 320.0 154.0 1 318.0 162.0
s11c2 178 320.0 154.0 2 318.0 148.0
s11c2 184 323.0 141.0 3 330.0 145.0
s11c2 184 323.0 141.0 4 318.0 132.0
s12c1 79 196.0 114.0 1 204.0 121.0
s12c1 79 196.0 114.0 2 191.0 107.0
s12c1 129 237.0 107.0 1 228.0 111.0
s12c1 129 237.0 107.0 2 249.0 103.0
s12c1 129 178.0 117.0 3 176.0 130.0
s12c1 129 178.0 117.0 4 184.0 107.0
s12c1 170 191.0 102.0 4 191.0 107.0
s12c1 170 191.0 102.0 5 191.0 97.0
s12c1 172 164.0 118.0 3 165.0 125.0
s12c1 172 164.0 118.0 4 165.0 110.0
s12c1 183 265.0 110.0 2 254.0 113.0
s12c1 183 265.0 110.0 3 270.0 107.0
s12c1 184 221.0 120.0 1 216.0 125.0
s12c1 184 221.0 120.0 2 226.0 114.0
s12c2 34 420.0 180.0 1 427.0 182.0
s12c2 34 420.0 180.0 2 414.0 182.0
s12c2 91 442.0 214.0 1 427.0 210.0
s12c2 91 442.0 214.0 2 453.0 217.0
s12c2 91 400.0 168.0 3 407.0 175.0
s12c2 91 400.0 168.0 4 401.0 158.0
s12c2 148 431.0 226.0 1 423.0 231.0
s12c2 148 431.0 226.0 2 436.0 224.0
s12c2 194 440.0 215.0 2 443.0 218.0
s12c2 194 440.0 215.0 3 433.0 212.0
s12c2 201 413.0 250.0 1 409.0 259.0
s12c2 201 413.0 250.0 2 415.0 243.0
s12c3 26 151.0 283.0 1 155.0 285.0
s12c3 26 151.0 283.0 2 147.0 281.0
s12c3 75 130.0 260.0 2 131.0 260.0
s12c3 75 130.0 260.0 3 121.0 251.0
s12c3 78 195.0 303.0 1 191.0 310.0
s12c3 78 195.0 303.0 2 201.0 296.0
s12c3 128 187.0 212.0 2 182.0 221.0
s12c3 128 187.0 212.0 3 192.0 208.0
s12c3 135 178.0 392.0 1 178.0 399.0
s12c3 135 178.0 392.0 2 180.0 386.0
s12c3 136 125.0 234.0 5 133.0 236.0
s12c3 136 125.0 234.0 6 120.0 232.0
s12c3 185 152.0 235.0 2 159.0 237.0
s12c3 185 152.0 235.0 3 144.0 229.0
s12c3 186 133.0 233.0 4 129.0 238.0
s12c3 186 133.0 233.0 5 134.0 227.0
s12c3 204 179.0 389.0 1 174.0 392.0
s12c3 204 179.0 389.0 2 186.0 390.0
s12c4 45 178.0 396.0 2 170.0 399.0
s12c4 45 178.0 396.0 3 184.0 390.0
s12c4 54 179.0 410.0 1 180.0 416.0
s12c4 54 179.0 410.0 2 179.0 404.0
s12c4 92 167.0 405.0 3 169.0 410.0
s12c4 92 167.0 405.0 4 166.0 400.0
s12c4 92 201.0 392.0 5 199.0 400.0
s12c4 92 201.0 392.0 6 206.0 387.0
s12c4 107 170.0 418.0 1 166.0 428.0
s12c4 107 170.0 418.0 2 176.0 413.0
s12c4 137 207.0 380.0 6 200.0 384.0
s12c4 137 207.0 380.0 7 216.0 371.0
s12c4 139 190.0 403.0 5 188.0 410.0
s12c4 139 190.0 403.0 6 196.0 399.0
s12c4 140 165.0 380.0 4 165.0 386.0
s12c4 140 165.0 380.0 5 166.0 371.0
s12c4 152 151.0 427.0 3 160.0 424.0
s12c4 152 151.0 427.0 4 143.0 427.0
s12c4 153 171.0 408.0 2 178.0 409.0
s12c4 153 171.0 408.0 3 165.0 405.0
s12c4 154 176.0 431.0 1 166.0 435.0
s12c4 154 176.0 431.0 2 182.0 431.0
s12c4 183 207.0 395.0 10 205.0 401.0
s12c4 183 207.0 395.0 11 211.0 387.0
s12c4 184 203.0 432.0 9 209.0 440.0
s12c4 184 203.0 432.0 10 196.0 429.0
s12c4 187 193.0 369.0 13 190.0 376.0
s12c4 187 193.0 369.0 14 195.0 359.0
s12c4 188 165.0 368.0 8 164.0 374.0
s12c4 188 165.0 368.0 9 162.0 357.0
s12c4 189 221.0 372.0 16 230.0 372.0
s12c4 189 221.0 372.0 17 214.0 368.0
s12c4 191 162.0 393.0 7 167.0 394.0
s12c4 191 162.0 393.0 8 157.0 389.0
s12c4 196 196.0 443.0 2 191.0 449.0
s12c4 196 196.0 443.0 3 199.0 439.0
s12c4 197 156.0 440.0 1 157.0 442.0
s12c4 197 156.0 440.0 2 150.0 434.0
s12c4 199 158.0 407.0 6 159.0 412.0
s12c4 199 158.0 407.0 7 150.0 396.0
s12c4 204 173.0 427.0 8 181.0 437.0
s12c4 204 173.0 427.0 9 167.0 427.0
s12c4 210 182.0 411.0 5 188.0 417.0
s12c4 210 182.0 411.0 6 180.0 406.0
s13c1 24 180.0 203.0 2 187.0 210.0
s13c1 24 180.0 203.0 3 175.0 196.0
s13c1 28 168.0 242.0 1 161.0 242.0
s13c1 28 168.0 242.0 2 175.0 243.0
s13c1 68 186.0 222.0 3 184.0 225.0
s13c1 68 186.0 222.0 4 182.0 213.0
s13c1 75 179.0 199.0 5 173.0 200.0
s13c1 75 179.0 199.0 6 185.0 203.0
s13c1 76 170.0 249.0 2 178.0 257.0
s13c1 76 170.0 249.0 3 168.0 240.0
s13c1 77 144.0 242.0 1 140.0 243.0
s13c1 77 144.0 242.0 2 152.0 239.0
s13c1 117 175.0 237.0 6 174.0 244.0
s13c1 117 175.0 237.0 7 177.0 230.0
s13c1 118 169.0 256.0 5 173.0 263.0
s13c1 118 169.0 256.0 6 165.0 247.0
s13c1 122 178.0 213.0 10 178.0 214.0
s13c1 122 178.0 213.0 11 188.0 212.0
s13c1 123 164.0 205.0 9 166.0 217.0
s13c1 123 164.0 205.0 10 159.0 201.0
s13c1 127 115.0 242.0 1 115.0 256.0
s13c1 127 115.0 242.0 2 115.0 234.0
s13c1 131 132.0 242.0 3 125.0 249.0
s13c1 131 132.0 242.0 4 135.0 232.0
s13c1 132 158.0 230.0 6 154.0 232.0
s13c1 132 158.0 230.0 7 158.0 221.0
s13c1 141 173.0 271.0 5 173.0 279.0
s13c1 141 173.0 271.0 6 174.0 262.0
s13c1 156 146.0 256.0 10 135.0 263.0
s13c1 156 146.0 256.0 11 155.0 249.0
s13c1 157 161.0 287.0 9 157.0 294.0
s13c1 157 161.0 287.0 10 168.0 280.0
s13c1 159 151.0 279.0 13 138.0 281.0
s13c1 159 151.0 279.0 14 155.0 272.0
s13c1 164 176.0 234.0 15 164.0 235.0
s13c1 164 176.0 234.0 16 180.0 234.0
s13c1 164 154.0 203.0 18 146.0 206.0
s13c1 164 154.0 203.0 19 159.0 201.0
s13c1 164 203.0 222.0 21 203.0 229.0
s13c1 164 203.0 222.0 22 206.0 212.0
s13c1 171 164.0 221.0 17 158.0 222.0
s13c1 171 164.0 221.0 18 170.0 215.0
s13c1 175 100.0 255.0 1 106.0 254.0
s13c1 175 100.0 255.0 2 92.0 252.0
s13c1 178 101.0 222.0 3 98.0 226.0
s13c1 178 101.0 222.0 4 112.0 220.0
s13c1 181 139.0 228.0 9 136.0 232.0
s13c1 181 139.0 228.0 10 136.0 219.0
s13c1 186 111.0 204.0 6 102.0 208.0
s13c1 186 111.0 204.0 7 115.0 199.0
s13c1 186 176.0 187.0 12 176.0 193.0
s13c1 186 176.0 187.0 13 180.0 185.0
s13c1 188 112.0 241.0 5 122.0 247.0
s13c1 188 112.0 241.0 6 106.0 234.0
s13c1 189 125.0 272.0 17 126.0 279.0
s13c1 189 125.0 272.0 18 126.0 266.0
s13c1 192 185.0 294.0 9 185.0 303.0
s13c1 192 185.0 294.0 10 183.0 288.0
s13c1 192 163.0 302.0 16 168.0 307.0
s13c1 192 163.0 302.0 17 160.0 297.0
s13c1 192 167.0 278.0 18 166.0 285.0
s13c1 192 167.0 278.0 19 174.0 272.0
s13c1 192 144.0 255.0 22 149.0 264.0
s13c1 192 144.0 255.0 23 137.0 249.0
s13c1 193 137.0 285.0 24 145.0 292.0
s13c1 193 137.0 285.0 25 129.0 284.0
s13c1 195 168.0 255.0 11 177.0 260.0
s13c1 195 168.0 255.0 12 162.0 252.0
s13c1 197 162.0 271.0 27 155.0 280.0
s13c1 197 162.0 271.0 28 164.0 268.0
s13c1 198 152.0 240.0 29 143.0 240.0
s13c1 198 152.0 240.0 30 164.0 241.0
s13c1 198 198.0 207.0 38 200.0 216.0
s13c1 198 198.0 207.0 39 200.0 199.0
s13c1 199 197.0 239.0 37 203.0 247.0
s13c1 199 197.0 239.0 38 203.0 230.0
s13c1 200 178.0 239.0 31 187.0 244.0
s13c1 200 178.0 239.0 32 174.0 232.0
s13c1 202 178.0 211.0 37 180.0 219.0
s13c1 202 178.0 211.0 38 178.0 204.0
s13c1 203 133.0 202.0 35 133.0 206.0
s13c1 203 133.0 202.0 36 136.0 198.0
s13c1 206 161.0 218.0 34 159.0 225.0
s13c1 206 161.0 218.0 35 168.0 213.0
s13c1 212 138.0 218.0 33 137.0 223.0
s13c1 212 138.0 218.0 34 147.0 212.0
s13c1 212 156.0 190.0 39 151.0 195.0
s13c1 212 156.0 190.0 40 164.0 187.0
s13c2 43 238.0 340.0 1 236.0 346.0
s13c2 43 238.0 340.0 2 239.0 338.0
s13c2 43 248.0 297.0 3 247.0 303.0
s13c2 43 248.0 297.0 4 245.0 291.0
s13c2 84 238.0 271.0 4 230.0 280.0
s13c2 84 238.0 271.0 5 245.0 274.0
s13c2 88 240.0 355.0 1 246.0 364.0
s13c2 88 240.0 355.0 2 236.0 350.0
s13c2 89 234.0 314.0 3 228.0 321.0
s13c2 89 234.0 314.0 4 236.0 306.0
s13c2 90 241.0 291.0 5 238.0 294.0
s13c2 90 241.0 291.0 6 241.0 284.0
s13c2 134 228.0 374.0 1 229.0 380.0
s13c2 134 228.0 374.0 2 227.0 372.0
s13c2 134 232.0 322.0 4 230.0 325.0
s13c2 134 232.0 322.0 5 233.0 317.0
s13c2 135 212.0 321.0 6 209.0 331.0
s13c2 135 212.0 321.0 7 217.0 317.0
s13c2 138 230.0 354.0 3 220.0 356.0
s13c2 138 230.0 354.0 4 238.0 352.0
s13c2 141 209.0 300.0 9 203.0 299.0
s13c2 141 209.0 300.0 10 213.0 296.0
s13c2 143 241.0 287.0 11 239.0 290.0
s13c2 143 241.0 287.0 12 248.0 284.0
s13c2 150 250.0 256.0 14 250.0 259.0
s13c2 150 250.0 256.0 15 254.0 252.0
s13c2 172 265.0 293.0 11 266.0 299.0
s13c2 172 265.0 293.0 12 264.0 286.0
s13c2 177 214.0 383.0 2 215.0 392.0
s13c2 177 214.0 383.0 3 220.0 375.0
s13c2 178 236.0 286.0 7 234.0 289.0
s13c2 178 236.0 286.0 8 241.0 285.0
s13c2 179 219.0 326.0 6 224.0 327.0
s13c2 179 219.0 326.0 7 213.0 326.0
s13c2 181 191.0 330.0 10 185.0 338.0
s13c2 181 191.0 330.0 11 192.0 326.0
s13c2 181 212.0 307.0 12 211.0 310.0
s13c2 181 212.0 307.0 13 221.0 300.0
s13c2 182 235.0 348.0 5 236.0 360.0
s13c2 182 235.0 348.0 6 234.0 338.0
s13c2 183 206.0 362.0 4 206.0 369.0
s13c2 183 206.0 362.0 5 200.0 356.0
s13c2 193 285.0 264.0 20 283.0 271.0
s13c2 193 285.0 264.0 21 290.0 259.0
s13c2 197 248.0 308.0 16 245.0 312.0
s13c2 197 248.0 308.0 17 254.0 307.0
s13c2 204 271.0 296.0 19 261.0 299.0
s13c2 204 271.0 296.0 20 272.0 298.0
s13c2 210 283.0 313.0 17 283.0 319.0
s13c2 210 283.0 313.0 18 287.0 312.0
s13c2 211 298.0 304.0 19 292.0 305.0
s13c2 211 298.0 304.0 20 302.0 301.0
s13c3 42 323.0 233.0 1 325.0 241.0
s13c3 42 323.0 233.0 2 320.0 231.0
s13c3 86 346.0 239.0 1 341.0 244.0
s13c3 86 346.0 239.0 2 356.0 231.0
s13c3 106 305.0 240.0 3 300.0 246.0
s13c3 106 305.0 240.0 4 308.0 237.0
s13c3 132 372.0 245.0 2 365.0 251.0
s13c3 132 372.0 245.0 3 381.0 241.0
s13c3 138 326.0 268.0 1 320.0 273.0
s13c3 138 326.0 268.0 2 330.0 264.0
s13c3 150 326.0 211.0 6 335.0 215.0
s13c3 150 326.0 211.0 7 318.0 212.0
s13c3 176 287.0 253.0 5 297.0 256.0
s13c3 176 287.0 253.0 6 280.0 254.0
s13c3 177 370.0 265.0 3 366.0 272.0
s13c3 177 370.0 265.0 4 372.0 260.0
s13c3 182 392.0 241.0 5 395.0 244.0
s13c3 182 392.0 241.0 6 387.0 236.0
s13c3 185 305.0 276.0 1 302.0 282.0
s13c3 185 305.0 276.0 2 310.0 273.0
s13c3 191 336.0 248.0 3 332.0 251.0
s13c3 191 336.0 248.0 4 340.0 247.0
s13c4 33 376.0 153.0 2 370.0 159.0
s13c4 33 376.0 153.0 3 387.0 146.0
s13c4 37 406.0 184.0 1 411.0 181.0
s13c4 37 406.0 184.0 2 398.0 185.0
s13c4 79 374.0 174.0 3 380.0 170.0
s13c4 79 374.0 174.0 4 369.0 175.0
s13c4 83 423.0 167.0 1 431.0 166.0
s13c4 83 423.0 167.0 2 416.0 165.0
s13c4 84 405.0 152.0 6 395.0 149.0
s13c4 84 405.0 152.0 7 414.0 149.0
s13c4 106 366.0 183.0 3 362.0 183.0
s13c4 106 366.0 183.0 4 373.0 174.0
s13c4 137 457.0 147.0 1 462.0 155.0
s13c4 137 457.0 147.0 2 453.0 139.0
s13c4 139 402.0 153.0 3 401.0 153.0
s13c4 139 402.0 153.0 4 406.0 146.0
s13c4 140 414.0 158.0 10 411.0 161.0
s13c4 140 414.0 158.0 11 421.0 152.0
s13c4 142 376.0 151.0 9 369.0 154.0
s13c4 142 376.0 151.0 10 382.0 146.0
s13c4 153 359.0 186.0 8 365.0 190.0
s13c4 153 359.0 186.0 9 351.0 180.0
s13c4 159 357.0 162.0 7 359.0 168.0
s13c4 159 357.0 162.0 8 358.0 155.0
s13c4 168 378.0 203.0 5 384.0 207.0
s13c4 168 378.0 203.0 6 373.0 201.0
s13c4 181 456.0 153.0 1 466.0 158.0
s13c4 181 456.0 153.0 2 446.0 152.0
s13c4 192 447.0 142.0 3 441.0 151.0
s13c4 192 447.0 142.0 4 453.0 140.0
s13c4 194 419.0 157.0 16 416.0 161.0
s13c4 194 419.0 157.0 17 420.0 153.0
s13c4 195 408.0 133.0 6 401.0 140.0
s13c4 195 408.0 133.0 7 416.0 130.0
s13c4 199 366.0 184.0 5 379.0 188.0
s13c4 199 366.0 184.0 6 356.0 185.0
s13c4 204 378.0 165.0 16 368.0 163.0
s13c4 204 378.0 165.0 17 385.0 160.0
s13c4 204 403.0 182.0 18 410.0 183.0
s13c4 204 403.0 182.0 19 398.0 179.0
s13c4 205 318.0 186.0 14 323.0 192.0
s13c4 205 318.0 186.0 15 307.0 179.0
s13c4 212 324.0 179.0 16 316.0 185.0
s13c4 212 324.0 179.0 17 328.0 176.0
s13c4 216 352.0 204.0 10 351.0 207.0
s13c4 216 352.0 204.0 11 356.0 200.0
s14c1 43 74.0 370.0 1 74.0 377.0
s14c1 43 74.0 370.0 2 75.0 362.0
s14c1 93 58.0 343.0 2 65.0 343.0
s14c1 93 58.0 343.0 3 48.0 337.0
s14c1 97 71.0 383.0 1 81.0 385.0
s14c1 97 71.0 383.0 2 67.0 383.0
s14c1 155 96.0 373.0 1 87.0 373.0
s14c1 155 96.0 373.0 2 104.0 369.0
s14c1 156 43.0 388.0 3 39.0 397.0
s14c1 156 43.0 388.0 4 43.0 381.0
s14c1 157 81.0 342.0 5 87.0 347.0
s14c1 157 81.0 342.0 6 78.0 340.0
s14c1 157 40.0 330.0 7 40.0 333.0
s14c1 157 40.0 330.0 8 36.0 317.0
s14c2 59 130.0 183.0 1 133.0 190.0
s14c2 59 130.0 183.0 2 134.0 175.0
s14c2 108 124.0 211.0 1 126.0 214.0
s14c2 108 124.0 211.0 2 120.0 204.0
s14c2 116 136.0 158.0 3 128.0 164.0
s14c2 116 136.0 158.0 4 145.0 155.0
s14c2 153 122.0 216.0 2 130.0 220.0
s14c2 153 122.0 216.0 3 118.0 212.0
s14c2 157 124.0 231.0 1 118.0 232.0
s14c2 157 124.0 231.0 2 132.0 229.0
s14c2 161 166.0 162.0 6 175.0 165.0
s14c2 161 166.0 162.0 7 160.0 155.0
s14c2 167 129.0 163.0 5 131.0 167.0
s14c2 167 129.0 163.0 6 125.0 158.0
s14c2 196 107.0 212.0 4 107.0 215.0
s14c2 196 107.0 212.0 5 106.0 208.0
s14c2 198 129.0 211.0 3 131.0 215.0
s14c2 198 129.0 211.0 4 128.0 207.0
s14c2 199 150.0 166.0 10 145.0 172.0
s14c2 199 150.0 166.0 11 151.0 158.0
s14c2 202 118.0 232.0 1 126.0 238.0
s14c2 202 118.0 232.0 2 117.0 226.0
s14c2 202 139.0 222.0 3 138.0 230.0
s14c2 202 139.0 222.0 4 142.0 215.0
s14c2 206 124.0 169.0 10 129.0 169.0
s14c2 206 124.0 169.0 11 114.0 167.0
s14c2 207 140.0 179.0 9 136.0 180.0
s14c2 207 140.0 179.0 10 148.0 181.0
s14c2 210 184.0 166.0 13 181.0 171.0
s14c2 210 184.0 166.0 14 185.0 157.0
s14c3 39 310.0 154.0 2 316.0 156.0
s14c3 39 310.0 154.0 3 307.0 153.0
s14c3 48 310.0 178.0 1 305.0 184.0
s14c3 48 310.0 178.0 2 314.0 172.0
s14c3 88 325.0 160.0 3 331.0 161.0
s14c3 88 325.0 160.0 4 322.0 157.0
s14c3 90 308.0 161.0 5 314.0 165.0
s14c3 90 308.0 161.0 6 303.0 152.0
s14c3 103 329.0 179.0 2 330.0 184.0
s14c3 103 329.0 179.0 3 328.0 172.0
s14c3 105 322.0 203.0 1 329.0 207.0
s14c3 105 322.0 203.0 2 313.0 198.0
s14c3 141 288.0 141.0 8 288.0 141.0
s14c3 141 288.0 141.0 9 291.0 136.0
s14c3 142 361.0 161.0 5 358.0 167.0
s14c3 142 361.0 161.0 6 366.0 156.0
s14c3 143 316.0 161.0 8 319.0 166.0
s14c3 143 316.0 161.0 9 322.0 157.0
s14c3 153 348.0 207.0 1 345.0 214.0
s14c3 153 348.0 207.0 2 352.0 202.0
s14c3 153 335.0 188.0 4 333.0 194.0
