cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
I0,0,0,0,0,0,0,0,0,0,0
I1,2,2,0,0,0,0,0,0,0,0
I2,2,2,1,2,0,1,0,1,0,0
I3,2,2,1,2,2,1,0,1,0,0
216_19,2,2,1,2,2,1,0,1,2,0
216_18,2,2,1,2,2,1,0,1,0,0
I4,2,2,1,2,0,1,0,1,0,2
216_21,2,2,1,2,0,1,0,1,0,2
216_20,2,2,1,2,0,1,0,1,0,2
I5,2,2,0,0,0,0,1,0,0,0
I6,2,2,1,2,0,1,1,1,1,2
216_17,2,2,1,2,0,1,1,1,1,2
216_16,2,2,1,2,0,1,1,1,1,2
I7,2,2,0,0,1,2,1,0,0,0
216_13,2,2,2,0,1,2,1,0,0,1
I8,2,2,0,0,1,2,1,0,1,1
216_15,2,2,0,0,1,2,1,0,1,1
216_14,2,2,0,0,1,2,1,0,1,1
I9,0,0,0,0,0,0,0,0,0,0
I10,1,2,2,1,0,1,0,0,0,2
I11,1,2,2,1,0,1,0,0,0,2
216_4,1,2,2,1,0,1,0,0,0,2
216_3,1,2,2,1,0,1,0,0,0,2
I12,1,2,2,1,0,1,0,0,1,2
216_2,1,2,2,1,0,1,2,0,1,2
216_1,1,2,2,1,0,1,0,0,1,2
I13,0,0,0,0,0,0,0,0,0,0
I14,0,0,0,0,0,0,1,1,0,0
I15,0,0,0,1,0,0,1,1,1,1
216_6,0,0,0,1,0,0,1,1,1,1
216_5,0,2,0,1,2,2,1,1,1,1
I16,2,0,0,0,0,0,1,1,0,0
216_8,2,0,0,0,0,0,1,1,2,0
216_7,2,0,0,1,0,0,1,1,0,0
I17,0,0,2,1,0,0,0,0,0,1
I18,0,1,2,1,2,0,2,2,0,1
216_10,1,1,2,1,2,0,2,2,0,1
216_9,0,1,2,1,2,0,2,2,0,1
I19,0,0,2,1,0,0,0,0,0,1
216_12,0,0,2,1,0,0,0,0,0,1
216_11,0,0,2,1,2,0,0,0,0,1
Evolve tree: [&R] (((((216_11:41,216_12:41)I19:45,(216_9:38,216_10:38)I18:48)I17:47,((216_7:36,216_8:36)I16:48,(216_5:31,216_6:31)I15:53)I14:49)I13:46,((216_1:20,216_2:20)I12:56,(216_3:16,216_4:16)I11:60)I10:103)I9:36,((((216_14:25,216_15:25)I8:51,216_13:76)I7:49,(216_16:10,216_17:10)I6:115)I5:51,((216_20:35,216_21:35)I4:39,(216_18:31,216_19:31)I3:43)I2:102)I1:39)I0;
