cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,2,2,0,0,0,0,0
I1,0,0,1,2,2,0,1,0,2,0
I2,0,0,1,2,2,0,1,0,2,2
I3,0,2,1,2,2,0,1,2,2,2
216_16,1,2,1,2,2,0,1,2,2,2
216_15,0,2,1,2,2,0,1,2,2,2
I4,0,0,1,2,2,0,1,0,2,2
216_18,0,0,1,2,2,2,1,1,2,2
216_17,0,0,1,2,2,0,1,0,2,2
I5,0,0,1,2,2,2,1,0,2,0
I6,1,1,1,2,2,2,1,1,2,2
216_21,1,1,1,2,2,2,1,1,2,2
216_20,1,1,1,2,2,2,1,1,2,2
I7,0,1,1,2,2,2,1,2,2,0
216_24,0,1,1,2,2,2,1,2,2,0
I8,0,1,1,2,2,2,1,2,2,0
216_23,0,1,1,2,2,2,1,2,2,0
216_22,0,1,1,2,2,2,1,2,2,0
I9,0,0,0,2,2,1,0,0,1,1
I10,0,0,1,2,2,1,0,0,1,1
I11,0,0,1,2,2,1,0,0,1,1
216_6,2,0,1,2,2,1,0,0,1,1
216_7,0,0,1,2,2,1,0,0,1,1
I12,0,0,1,2,2,1,0,0,1,1
216_1,0,0,1,2,2,1,0,0,1,1
216_3,0,0,1,2,2,1,0,0,1,1
I13,0,0,0,2,2,1,1,0,1,1
I14,0,1,0,2,2,1,1,0,1,1
I15,2,1,2,2,2,1,1,0,1,1
216_14,2,1,2,2,2,1,1,0,1,1
216_13,2,1,2,2,2,1,1,0,1,1
I16,2,1,0,2,2,1,1,0,1,1
216_12,2,1,0,2,2,1,1,0,1,1
216_11,2,1,0,2,2,1,1,0,1,1
I17,0,0,0,2,2,1,1,0,1,1
216_10,0,2,0,2,2,1,1,0,1,1
I18,0,0,0,2,2,1,1,0,1,1
216_9,0,0,0,2,2,1,1,0,1,1
216_8,0,0,0,2,2,1,1,0,1,1
Evolve tree: [&R] (((((216_8:0.012038973181965588,216_9:0.012038973181965588)I18:0.16763323705190816,216_10:0.17967221023387375)I17:0.23227971682996285,((216_11:0.020130191961974638,216_12:0.020130191961974638)I16:0.15497393552206584,(216_13:0.012038973181965588,216_14:0.012038973181965588)I15:0.16306515430207488)I14:0.23684779957979613)I13:0.29545097158787975,((216_3:0.17055081684304865,216_1:0.17055081684304865)I12:0.2149764614764323,(216_7:0.16601223054136086,216_6:0.16601223054136086)I11:0.21951504777812006)I10:0.3218756203322355)I9:0.3559444858010471,((((216_22:0.03236572398856582,216_23:0.03236572398856582)I8:0.14273840349547465,216_24:0.17510412748404047)I7:0.23152857867275792,(216_20:0.05302434717274747,216_21:0.05302434717274747)I6:0.3536083589840511)I5:0.2882412030209719,((216_17:0.1614883209639153,216_18:0.1614883209639153)I4:0.20838836761778712,(216_15:0.1480041787330661,216_16:0.1480041787330661)I3:0.22187250984863632)I2:0.32499722059606795)I1:0.3684734752749932)I0:0.17760065021654542;
