cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
I0,0,0,0,0,2,2,0,0,0,0
I1,0,0,0,0,2,2,0,2,0,1
216_13,0,2,0,1,2,2,0,2,0,1
I2,0,1,2,0,2,2,1,2,2,1
216_15,0,1,2,0,2,2,1,2,2,1
216_14,0,1,2,0,2,2,1,2,2,1
I3,0,0,2,0,2,2,2,0,0,0
I4,0,0,2,0,2,2,2,2,0,1
216_11,1,1,2,1,2,2,2,2,2,1
I5,0,2,2,1,2,2,2,2,0,1
216_10,0,2,2,1,2,2,2,2,0,1
216_9,1,2,2,1,2,2,2,2,0,1
I6,0,0,2,0,2,2,2,0,0,0
I7,2,0,2,0,2,2,2,0,0,0
216_6,2,0,2,0,2,2,2,0,0,0
216_5,2,0,2,0,2,2,2,0,0,0
I8,0,0,2,2,2,2,2,0,0,0
I9,0,0,2,2,2,2,2,0,0,0
216_2,0,0,2,2,2,2,2,0,0,0
216_1,0,0,2,2,2,2,2,0,0,0
I10,0,0,2,2,2,2,2,0,0,0
216_4,0,0,2,2,2,2,2,0,0,0
216_3,0,0,2,2,2,2,2,0,0,0
Evolve tree: [&R] (((((216_3:9,216_4:9)I10:42,(216_1:7,216_2:7)I9:44)I8:45,(216_5:6,216_6:6)I7:90)I6:50,((216_9:39,216_10:39)I5:54,216_11:93)I4:53)I3:47,((216_14:37,216_15:37)I2:50,216_13:87)I1:106)I0:22;
