cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_1,2,1,2,2,1,1,1,1,0,0
216_2,2,1,2,2,1,1,1,1,0,0
216_3,2,1,2,2,1,1,1,1,0,0
216_4,2,1,2,2,1,1,1,1,0,0
216_5,0,1,1,1,0,0,1,0,0,1
216_6,0,1,1,1,0,0,1,0,0,1
216_7,2,1,0,1,1,0,1,0,0,1
216_8,0,1,0,1,0,0,1,0,0,1
216_13,2,1,0,2,1,1,1,0,0,0
216_15,2,1,0,0,1,0,1,0,0,0
216_16,2,1,0,0,1,0,1,0,0,0
216_17,2,1,2,1,1,0,1,1,2,1
216_18,2,1,2,1,1,0,1,1,2,1
216_19,2,1,2,1,1,0,1,1,0,1
216_20,2,1,2,1,1,0,1,1,0,1
216_21,2,2,1,1,1,0,0,2,2,1
216_22,2,1,1,1,1,0,1,2,2,1
216_23,2,1,1,0,1,0,1,2,2,1
216_24,2,1,1,1,1,0,1,2,2,1
